,index,activity,location,sex,year,injury,case_number,time,age,type,area,country,fatal_y_n,species,index_original
333,363,Spearfishing,Green Turtle Cay,M,1983,Lacerations to left calf,1983.07.15,Morning,13,Unprovoked,Abaco Islands,BAHAMAS,N,unknown,363
334,364,Swimming,"Off 12th Street, Miami Beach",M,1983,Left foot bitten,1983.07.12.a,Morning,42,Unprovoked,Florida,USA,N,unknown,364
335,365,Spearfishing,"Off Sandy Point, Great Abaco Island",M,1983,FATAL,1983.07.05,Unknown,15,Unprovoked,Abaco Islands,BAHAMAS,Y,unknown,365
336,366,Surfing,"Patrick Air Force Base, Brevard County",M,1981,Lacerations to 2 fingers of left hand,1981.09.27,Morning,25,Unprovoked,Florida,USA,N,unknown,366
337,367,Gaffing netted shark,Onboard swordfish trawler,M,1980,Arm lacerated by gaffed shark PROVOKED INCIDENT,1980.01.10,Unknown,34,Provoked,,NORTH ATLANTIC OCEAN,N,dogfish,367
338,368,Surfing,,M,1980,Knee bitten,1980.01.05,Unknown,,Invalid,Island of Kos,GREECE,U,unknown,368
339,369,Diving,"Miller's Point, False Bay",M,1978,"No injury, rammed by shark",1978.03.05,Unknown,,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,369
340,370,Shipwreck,Sarcelle,,1976,It was believed that survivors were killed by sharks,1976.10.18,Unknown,,Sea Disaster,,NEW CALEDONIA,N,unknown,370
341,371,Swimming,"Jacksonville, Duval County",M,1976,FATAL,1976.09.17,Unknown,,Unprovoked,Florida,USA,Y,unknown,371
342,372,Fishing,Robberg Point,,1976,"No injury to occupants, shark buckled prop shaft",1976.04.28,Unknown,,Watercraft,Western Cape Province,SOUTH AFRICA,N,unknown,372
343,373,,Harvey Bay,F,1976,Survived,1976.02.03,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,373
344,374,Spearfishing,"Te Kaha, East coast",M,1976,FATAL,1976.01.11,Unknown,,Unprovoked,North Island,NEW ZEALAND,Y,bronze whaler,374
345,375,Surfing,"Point Sur, Monterey County",M,1972,Legs & board bitten,1972.10.14.a,Morning,,Unprovoked,California,USA,N,unknown,375
346,376,Spearfishing,"Waihe'e, Wailuku, Maui",M,1972,Leg bitten,1972.04.01.a,Unknown,,Unprovoked,Hawaii,USA,N,unknown,376
347,377,Surfing,"Wilson's Promontory, Waratah Bay",M,1972,Laceration above knee,1972.03.21,Morning,18,Unprovoked,Victoria,AUSTRALIA,N,unknown,377
348,378,Swimming,3.2 km inland,M,1970,"Hands severed, forearm severely lacerated",1970.03.23,Unknown,14.0,Unprovoked,Limpopo River,MOZAMBIQUE,N,unknown,378
349,379,Fishing,40 miles south of Nantucket,M,1969,Leg bitten by netted shark PROVOKED INCIDENT,1969.09.06,Unknown,28,Provoked,Massachusetts,USA,N,unknown,379
350,381,Snorkeling,Florida Keys,M,1967,Foot lacerated,1967.08.00.b,Unknown,20,Unprovoked,Florida,USA,N,unknown,381
351,382,Spearfishing,Geelong,M,1967,Speared shark lacerated his arm PROVOKED INCIDENT,1967.03.20,Unknown,36,Provoked,Victoria,AUSTRALIA,N,nurse,382
352,383,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,,F,1966,FATAL,1966.12.26,Unknown,9 months,Unprovoked,New Ireland Province,PAPUA NEW GUINEA,Y,unknown,383
353,384,Fishing (big game),Maroubra,,1966,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",1966.04.08,Unknown,,Provoked,New South Wales,AUSTRALIA,N,unknown,384
354,385,Skin diving,"Achutupu, a small island ner Ailigandi",M,1964,"FATAL, torso / abdomen severely bitten",1964.05.30,Unknown,13.0,Unprovoked,San Blas Islands,PANAMA,Y,unknown,385
355,386,Body boarding,Muizenberg,M,1964,Right ankle lacerated,1964.02.11,Morning,25.0,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,386
356,387,Spearfishing,55 miles south of Adelaide,M,1963,Torso & hand lacerated,1963.12.20.b,Unknown,23.0,Unprovoked,South Australia,AUSTRALIA,N,unknown,387
357,388,Testing anti-shark cage,"8 miles south of Elliot Key, Miami-Dade County",M,1963,No injury PROVOKED INCIDENT,1963.11.16.R,Morning,,Provoked,Florida,USA,N,unknown,388
358,389,"Boat, with 42 passengers onboard, capsized in rough seas",100 miles southeast of Manila,,1963,"Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks. Survivors were rescued after spending 3 days in the water.",1963.06.01.a,Unknown,,Sea Disaster,Luzon Island,PHILIPPINES,Y,unknown,389
359,390,Surfing on chest board (boogie board?),Yallingup,M,1963,Arm bitten,1963.04.20,Unknown,25.0,Unprovoked,Western Australia,AUSTRALIA,N,unknown,390
360,391,Spearfishing,Paradise Reef,M,1962,Arm lacerated (minor injury),1962.11.10,Unknown,30.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,391
361,392,,Sisi  (west coast of island),M,1962,Facial lacerations,1962.10.28,Unknown,26.0,Unprovoked,Manus Island,ADMIRALTY ISLANDS,N,unknown,392
362,394,Standing,"Manasquan, Ocean County",M,1962,Left thigh & hand bitten,1962.08.23,Unknown,24.0,Unprovoked,New Jersey,USA,N,unknown,394
363,395,Washing,"Mouth of Suareng River, a mile from Taludig",M,1962,"FATAL, chest & leg bitten",1962.06.11.b,Midday,,Unprovoked,Madang Province,PAPUA NEW GUINEA,Y,bronze whaler,395
364,396,Treading water,Winkelspruit,M,1962,"FATAL, tissue removed from thigh, femoral artery severed",1962.02.15,Unknown,13.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,396
365,397,Rowing,Dicky Beach,,1962,"No injury to occupants, shark bit 3 piece from oar after they accidentally struck the shark PROVOKED INCIDENT",1962.01.10,Unknown,,Provoked,Queensland,AUSTRALIA,N,unknown,397
366,398,Dangling feet in the water,Aigua Blava,F,1962,Feet severed,1962.01.02,Unknown,,Unprovoked,Catalonia,SPAIN,N,unknown,398
367,399,Bathing,Praia Sepulveda,M,1961,His left leg was severely bitten,1961.12.27,Unknown,20.0,Unprovoked,Gaza,MOZAMBIQUE,N,unknown,399
368,400,"Surfing, pushing board ashore",Noosa Heads,M,1961,"FATAL, right wrist and hand bitten, left leg severed above knee",1961.12.19,Morning,22.0,Unprovoked,Queensland,AUSTRALIA,Y,unknown,400
369,401,Swimming with other crew near wharf,"Horn Island, near Thursday Island",M,1961,Right thigh and leg lacerated,1961.12.18.b,Unknown,17.0,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,401
370,403,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea",,M,1961,Lacerations to right shoulder blade  & back,1961.09.24.b,Morning,22.0,Unprovoked,165  miles from Bermuda,MID ATLANTIC OCEAN,N,unknown,403
371,404,Free diving,"Leeward side of island, directly in back of Mid-Pac barrel storage area",M,1961,Right elbow bitten,1961.03.14,Unknown,33.0,Unprovoked,Wake Island (EnenKio),NORTH PACIFIC OCEAN,N,reef,404
372,405,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark’s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",Off Broughton Island near Port Stephens,M,1960,Minor injuries to hand,1960.04.10,Morning,,Unprovoked,New South Wales,AUSTRALIA,N,bronze whaler,405
373,406,Treading water,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",M,1960,"Ankle bitten, hand injured while striking shark",1960.04.00.b,Morning,42.0,Unprovoked,Florida,USA,N,unknown,406
374,407,Setting crayfish pots,Eaglehawk Neck,,1960,"No injury to occupant, shark rammed boat",1960.01.16,Morning,,Watercraft,Tasmania,AUSTRALIA,N,unknown,407
375,408,Wading,Kei River Mouth,F,1960,"Heel lacerated, hand lacerated & abraded",1960.00.00.c,Morning,,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,408
376,409,Spearfishing on Scuba,"Panama City, Bay County",M,1959,"FATAL, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark",1959.08.20,Unknown,26.0,Unprovoked,Florida,USA,Y,unknown,409
377,410,Lifeboat capsized,"Mouth of Langoyan River, Davao City",M,1959,"FATAL, body not recovered",1959.04.05,Unknown,20.0,Unprovoked,Mindanao,PHILIPPINES,Y,unknown,410
378,411,Fell into water while attempting to boat a swordfish,Margarita Island,M,1959,Left arm bitten,1959.03.00,Unknown,,Unprovoked,Nueva Esparta,VENEZUELA,N,unknown,411
379,412,,Mouth of Devi River at Machgaon,,1959,"5 people killed by sharks, 30 others injured",1959.01.00,Unknown,,Unprovoked,Orissa,INDIA,Y,unknown,412
380,413,,"Baker's Haulover, Miami Beach",M,1958,No injury,1958.11.05,Unknown,60.0,Unprovoked,Florida,USA,N,unknown,413
381,415,Fishing,North Auckland,M,1956,Bitten in cockpit of boat by shark caught 30 minutes earlier PROVOKED INCIDENT,1956.12.24,Unknown,70.0,Provoked,North Island,NEW ZEALAND,N,unknown,415
382,416,Fishing,Port Moresby,M,1956,FATAL,1956.10.20,Unknown,,Unprovoked,,PAPUA NEW GUINEA,Y,unknown,416
383,417,Fishing,between Filfla Island and Wied iz-Zurrieq,,1956,"No injury to occupants, but Emmanuel later died of shock in hospital",1956.08.00.e,Unknown,,Boat,Congreve Channel,MALTA,N,unknown,417
384,418,Flying Tiger transport plane went down with 5 men onboard,Between Wake & Johnston Islands,M,1955,FATAL,1955.11.00,Unknown,,Sea Disaster,1000 miles west of Hawaii,NORTH PACIFIC OCEAN,Y,unknown,418
385,419,Spearfishing,Southwest of Cartegena,M,1955,Swim fin & foot bitten,1955.00.00.e,Unknown,12.0,Unprovoked,Isles del Rosario,COLUMBIA,N,unknown,419
386,420,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",150 miles off Cape Henry,M,1954,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a man’s leg & another reported that the second cook was killed by a shark,1954.12.04,Unknown,,Sea Disaster,Virginia,USA,Y,unknown,420
387,421,"Tuna fishing, standing on stern platform that was submerged by waves",,M,1954,4 lacerations on dorsum of right foot,1954.08.12.a,Unknown,34.0,Unprovoked,Galapagos Islands,ECUADOR,N,unknown,421
388,422,Spearfishing,Naghir Island,M,1954,Severe laceration to arm,1954.02.27,Unknown,30,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,422
389,423,Body surfing & treading water,"Pacific Grove, Monterey Bay, Monterey County",M,1952,"FATAL, leg lacerated",1952.08.04,Unknown,17.0,Unprovoked,California,USA,Y,unknown,423
390,424,Swimming,Jervis Bay,,1950,Legs nipped,1951.00.00,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,wobbegong,424
391,425,"Fishing, sitting in stern of small boat, feet dangling in the water",Off Port Elizabeth breakwater,M,1950,"Shark bit foot, removing 2 toes",1950.05.01,Unknown,,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,425
392,426,Swimming,Yorkey’s Knob Beach near Cairns,M,1949,"FATAL, right leg, thigh & fingers lacerated",1949.11.12,Unknown,34.0,Unprovoked,Queensland,AUSTRALIA,Y,unknown,426
393,428,Spearfishing,"Orava (Aravo) Islet , near Kieta.",M,1949,"FATAL, Nearly bitten in two through loin.",1949.00.00.e,Unknown,18.0,Unprovoked,Bougainville (North Solomons),PAPUA NEW GUINEA,Y,unknown,428
394,429,Bathing or washing,,F,1948,"FATAL, left arm & left buttock severed",1948.09.17.R,Unknown,60.0,Unprovoked,Bandar Ma’shur sea inlet,IRAN,Y,unknown,429
395,430,Fishing,False Bay,,1948,"No injury to occupants, boat holed by shark",1948.00.00.c,Unknown,,Watercraft,Western Cape Province,SOUTH AFRICA,N,unknown,430
396,431,Swimming,"Maria River, Port Macquarie, 12 miles from river mouth",M,1947,"FATAL, leg severed at knee",1947.11.14.b,Unknown,12.0,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,431
397,432,Diving,Darwin Harbour,M,1947,Suit ripped,1947.08.04,Unknown,,Unprovoked,Northern Territory,AUSTRALIA,N,unknown,432
398,433,Surfing,Palm Beach,M,1947,"No injury, board scraped by shark",1947.04.20,Unknown,17,Unprovoked,New South Wales,AUSTRALIA,N,unknown,433
399,434,,,,1944,Some killed & others severely injured,1944.05.24.R,Unknown,,Unprovoked,Lake Nicaragua (fresh water),NICARAGUA,Y,bull,434
400,435,B-24 aircraft crashed  into the sea,,M,1944,FATAL,1944.01.04,Unknown,,Sea Disaster,Adriatic Sea,ITALY,Y,unknown,435
401,436,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,Off Charleston,M,1943,"Of the 18 crew who survived the sinking, 10 were taken by sharks. Cabarrocas was bitten but survived",1944.00.00.a,Unknown,,Sea Disaster,South Carolina,USA,Y,unknown,436
402,437,Swimming,Guadalcanal,M,1943,Arm severed,1943.01.26,Unknown,,Unprovoked,,SOLOMON ISLANDS,N,unknown,437
403,438,,Maroubra,,1939,Boat bitten by gaffed shark PROVOKED INCIDENT,1939.12.14,Unknown,,Provoked,New South Wales,AUSTRALIA,N,unknown,438
404,439,Fishing,Between Wynnum & St. Helena Island,M,1938,Laceration to left foot & ankle by netted shark PROVOKED INCIDENT,1939.00.00.a,Unknown,18,Provoked,Queensland,AUSTRALIA,N,tiger,439
405,440,"Diving from the lugger San, operated by the Protector of the Aborigines","Mabuiag Island, between New Guinea & Australia",M,1937,"Head, neck & shoulder bitten (In 1918, he was also bitten by a shark off Cairns)",1937.09.11,Morning,38.0,Unprovoked,Torres Strait,AUSTRALIA,N,tiger,440
406,441,Fishing,Galveston,M,1937,Leg nipped by hooked shark PROVOKED INCIDENT,1937.06.15.b,Unknown,,Provoked,Texas,USA,N,unknown,441
407,443,Diving?,Barrier Reef near Innisfail,M,1935,Back & arm gashed but survived,1936.00.00,Unknown,20.0,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,443
408,444,Free diving for trochus,Near Boydong Cay,M,1933,"FATAL, right buttock & thigh bitten",1934.01.27,Unknown,,Unprovoked,Torres Strait,AUSTRALIA,Y,tiger,444
409,445,Swimming,Bondi,M,1929,"FATAL, right thigh bitten, femoral artery severed",1929.02.18,Unknown,39.0,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,445
410,446,Watercraft,Viareggio,M,1928,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",1928.08.24.R,Unknown,,Provoked,Tuscany,ITALY,N,unknown,446
411,448,Fishing,Sisargas Islands,,1924,"No injury to occupants, shark bit boat",1924.04.20,Unknown,,Watercraft,Galica,SPAIN,N,unknown,448
412,449,Diving for pearl,Great Barrier Reef,M,1923,non-fatal,1923.10.16,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,449
413,450,Fishing,"Sea Bright, Monmouth County",M,1923,No injury to occupant Shark struck boat,1923.01.27.a,Unknown,,Watercraft,New Jersey,USA,N,unknown,450
414,452,Dived into a school of baitfish,Marine Dock,M,1921,"FATAL, large wound on thigh",1921.01.11.R,Unknown,,Unprovoked,Cape Haitien,HAITI,Y,unknown,452
415,453,Swimming,"Throsby Creek, Newcastle",M,1920,Leg bitten. FATAL,1920.02.03,Morning,12.0,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,453
416,454,Swimming,"Beach Haven, Ocean County",M,1916,"FATAL, left leg bitten",1916.07.07,Unknown,24.0,Unprovoked,New Jersey,USA,Y,unknown,454
417,455,Swimming,"Atlantic City, Atlantic County",M,1916,Heel bitten,1916.07.06,Unknown,10 or 12,Unprovoked,New Jersey,USA,N,unknown,455
418,456,Reported swept away by waves while gathering opihi,"Pa'uwela, Maui",F,1909,Search party saw a large shark devour what appeared to be part of her body,1909.06.18,Unknown,19.0,Invalid,Hawaii,USA,U,unknown,456
419,457,Fishing,"Fort Pierce, St Lucie County",M,1905,Lacerations to leg from hooked shark PROVOKED INCIDENT,1905.12.29,Unknown,,Provoked,Florida,USA,N,unknown,457
420,458,Bathing,Noumea,M,1904,FATAL,1904.02.07,Unknown,,Unprovoked,South Province,NEW CALEDONIA,Y,unknown,458
421,459,Bathing,Tayabas,M,1904,Left arm bitten,1904.00.00.R,Unknown,,Unprovoked,Quezon,PHILIPPINES,N,unknown,459
422,460,,"Lane Cove River, Sydney Harbor (Estuary)",M,1903,FATAL,1903.03.20.R,Unknown,,Unprovoked,New South Wales,AUSTRALIA,Y,bull,460
423,461,The cutter Francis Adams foundered,,M,1898,Lacerations to thigh,1898.07.00,Unknown,,Sea Disaster,Muala,FIJI,N,unknown,461
424,462,,"a creek near Jacksonville, Duval County",M,1898,Lacerations,1898.00.00.d,Unknown,,Unprovoked,Florida,USA,N,unknown,462
425,463,Fishing,30 miles south of Lynn,M,1897,FATAL,1897.06.09,Unknown,,Unprovoked,Massachusetts,USA,Y,unknown,463
426,464,Diving for coins,,M,1895,FATAL,1895.11.16,Unknown,,Unprovoked,Aden,YEMEN,Y,unknown,464
427,465,Fell into the water,Bowen,M,1889,FATAL,1890.00.00.a,Unknown,,Unprovoked,Queensland,AUSTRALIA,Y,unknown,465
428,466,Fishing,Hillsborough Bay,,1889,No injury to occupants. Gaffed shark capsized boat PROVOKED INCIDENT,1889.07.19,Unknown,,Provoked,Florida,USA,N,unknown,466
429,467,Oystering,Rothesay Bay,M,1886,Wrist bitten,1886.06.02,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,467
430,468,Fishing,Lake Macquarie,M,1882,FATAL,1882.05.14,Unknown,,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,468
431,469,Swimming,"Petrie Bight, Brisbane River",M,1880,"Feet bitten, surgically amputated FATAL",1881.00.00.b,Unknown,12,Unprovoked,Queensland,AUSTRALIA,Y,bull,469
432,470,Fishing,"Chowder Bay, Sydney",,1880,"No injury to occupants, shark rammed boat",1880.05.02.b,Unknown,,Watercraft,New South Wales,AUSTRALIA,N,unknown,470
433,471,Standing,Napier,M,1879,FATAL,1879.08.30.R,Unknown,19,Unprovoked,North Island,NEW ZEALAND,Y,unknown,471
434,472,Jumped overboard after murdering 2 shipmates,,M,1878,FATAL,1878.11.17,Unknown,,Unprovoked,,,Y,unknown,472
435,473,Shark fishing,Long Island,M,1871,Hand injured PROVOKED INCIDENT,1871.12.11.R,Unknown,,Provoked,New York,USA,N,unknown,473
436,474,Fishing,Belfast (now Port Fairy),,1868,"No injury to occupants, shark's teeth embedded in keel",1868.05.13,Unknown,,Sea Disaster,South Australia,AUSTRALIA,N,unknown,474
437,475,Swimming,"Soldier's Point, Brick Bay, Auckland",M,1862,Right thigh and left foot severely bitten,1863.00.00.R2,Morning,28,Unprovoked,North Island,NEW ZEALAND,N,unknown,475
438,476,boat capsized,Sydney,M,1849,Torso bitten but may have been postmortem,1849.06.08.b,Unknown,,Invalid,New South Wales,AUSTRALIA,U,unknown,476
439,477,Swimming,Brisbane River,M,1847,Thigh & calf bitten,1848.07.17.R,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,477
440,478,,Alexandria,M,1827,Remains of the men were recovered from a +17-foot shark,1827.06.00.b,Unknown,,Unprovoked,,EGYPT,Y,unknown,478
441,479,Jumped overboard,,M,1826,FATAL,1826.08.28,Evening,,Unprovoked,,JAMAICA,Y,unknown,479
442,480,Bathing,Scarborough Bay,M,1815,FATAL,1817.02.22,Unknown,,Unprovoked,,TOBAGO,Y,unknown,480
443,481,"Fell overboard from a frigate & was swallowed by a shark. The captain fired a gun at the shark, and the creature cast the man out of his throat.",,M,1758,He was taken up alive and but little injured.,1767.00.00,Unknown,,Unprovoked,,MEDITERRANEAN SEA,N,unknown,481
444,482,,,M,1723,Struck on thigh,1738.04.06.R,Unknown,,Unprovoked,,ROATAN,U,unknown,482
445,483,Bathing,,M,1700,FATAL,1700.00.00.c,Unknown,,Unprovoked,,BARBADOS,Y,unknown,483
446,484,Shipwreck,"Krater found during excavations at Lacco Ameno, Ischia",M,,Depicts shipwrecked sailors  attacked by a shark/s,336BC,Unknown,,Sea Disaster,Tyrrhenian Sea,ITALY,Y,unknown,484
447,485,Swimming to canoe,Simbang,M,,FATAL,ND-0149,Unknown,,Unprovoked,Morobe Province,PAPUA NEW GUINEA,Y,unknown,485
448,486,Fishing,Off Inhambane,,,"No injury to occupants, shark bumped boat",ND-0109,Unknown,,Watercraft,Inhambane Province,MOZAMBIQUE,N,unknown,486
449,487,Attempting to drive shark from area,"Hokai, Malakula",M,,Speared shark broke outrigger of canoe throwing man into the water & shark bit his buttock PROVOKED INCIDENT,ND.0091,Unknown,,Provoked,Malampa Province,VANUATU,N,hammerhead,487
450,488,Spearfishing,Paget Parish,M,,Shoulder abraded by skin of shark,ND.0062,Unknown,,Unprovoked,Paget,BERMUDA,N,unknown,488
451,489,,Great Barrier Reef,M,,FATAL,ND.0022,Unknown,,Unprovoked,Queensland,AUSTRALIA,Y,unknown,489
452,490,4 men were bathing,Durban,M,,FATAL,ND.0018,Unknown,,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,490
453,491,Fishing,,M,,FATAL,ND.0010,Unknown,,Unprovoked,,AUSTRALIA,Y,blue,491
454,492,Swimming,Ocracoke Inlet,M,,FATAL,ND.0005,Unknown,,Unprovoked,North Carolina,USA,Y,unknown,492
455,493,Swimming,Freemantle,F,2023,Fatal,2023.02.18,Unknown,16,Unprovoked,Western Australia,AUSTRALIA,Y,bull,493
456,494,Swimming,"Chateau Royal Beach, Noumea",F,2023,"Hands, back and thigh inujured",2023.02.04,Morning,49,Unprovoked,South Province,NEW CALEDONIA,N,bull,494
457,495,Swimming  or Snorkeling,"Lower Paia Beach Park, Maui",F,2022,Injuries to left arm and right hand,2022.09.25,Unknown,51.0,Unprovoked,Hawaii,USA,N,unknown,495
458,496,Swimming,La Piscinita,M,2022,FATAL,2022.04.01,Unknown,56.0,Unprovoked,Isla De San Andres,COLUMBIA,Y,tiger,496
459,497,Spearfishing,,F,2021,PROVOKED INCIDENT Lacerations to right hand,2021.07.05,Unknown,19.0,Provoked,BAHAMAS,USA,N,bull,497
460,498,Spearfishing,CHS Beach,M,2021,Presumed fatal  PROVOKED INCIDENT,2021.06.12,Unknown,,Provoked,Nouville,NEW CALEDONIA,Y,unknown,498
461,499,Spearfishing,"Little Bay, Little London",M,2021,FATAL,2021.05.06,Morning,53.0,Unprovoked,Westmoreland Parish,JAMAICA,Y,unknown,499
462,500,Swimming,"Charley Young Beach, Maui",F,2020,Lacerations and puncture wounds to shoulder,2020.10.04,Morning,61.0,,Hawaii,USA,N,unknown,500
463,501,Snorkeling,"Candle Reef, St. Croix",F,2020,Lacerations to hand and wrist,2020.08.14,Unknown,,Unprovoked,Virgin Islands,USA,N,nurse,501
464,502,,Calana,M,2020,Right leg bitten,2020.01.07,Unknown,12.0,Unprovoked,,NEW CALEDONIA,N,unknown,502
465,503,Swimming,"Honokowai Point, Maui",M,2019,FATAL,2019.06.02,Morning,65.0,Unprovoked,Hawaii,USA,Y,unknown,503
466,504,Diving in shark tank,"Laohutan Ocean Park Aquarium, Dalian City",F,2019,"Lacerations to face, chin and scalp",2019.04.06.b,Unknown,,Provoked,Liaoning Province,CHINA,N,tiger,504
467,505,Kayaking,Moffat Beach,M,2018,"No injury to occupant, kayak bitten",2018.11.18,Morning,31.0,Watercraft,Queensland,AUSTRALIA,N,tiger,505
468,506,Swimming,Piedade,M,2018,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",2018.04.19,Unknown,34.0,Unprovoked,Pernambuco,BRAZIL,U,unknown,506
469,508,Fishing,"Menauhant Beach, Falmouth,
Barnstable County",M,2017,Foot bitten by landed shark PROVOKED INCIDENT,2017.08.10,Unknown,34.0,Provoked,Massachusetts,USA,N,unknown,508
470,509,Surfing,"Mayport Naval Station Beach, Duval County",M,2016,Lacerations to right foot and ankle,2016.11.28,Unknown,41.0,Unprovoked,Florida,USA,N,unknown,509
471,510,Surfing,"New Smyrna Beach, Volusia County",M,2016,Lacerations to right foot,2016.09.01,Unknown,25.0,Unprovoked,Florida,USA,N,bull,510
472,511,Swimming,,M,2016,Lacerations to leg,2016.08.04,Unknown,72.0,Unprovoked,Hong Kong,CHINA,N,unknown,511
473,512,Fishing,8 miles off Mobile,,2016,"No injury, shark bit trolling motor",2016.07.23.a,Unknown,,Watercraft,Alabama,USA,N,tiger,512
474,513,,"New Smyrna Beach, Volusia County",F,2016,Minor injury to toes,2016.07.17,Morning,11.0,Unprovoked,Florida,USA,N,unknown,513
475,514,Spearfishing,Miall Island,M,2016,Lacerations to arms & leg,2016.01.11.R,Morning,31.0,Unprovoked,Queensland,AUSTRALIA,N,unknown,514
476,515,Spearfishing,Bald Island,M,2015,Minor injury,2015.11.01.b,Unknown,50.0,Unprovoked,Western Australia,AUSTRALIA,N,unknown,515
477,516,Surfing,"Deerfield Beach, Broward County",M,2015,Left foot bitten,2015.10.25,Unknown,21.0,Unprovoked,Florida,USA,N,unknown,516
478,517,Surfing,Jeffrey's Bay,M,2015,No injury,2015.07.23.a,Unknown,34.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,517
479,518,Surfing,Folette,M,2015,Left forearm bitten,2015.06.07,Unknown,47,Unprovoked,Le Port,REUNION,N,bull,518
480,519,Spearfishing,Freetown Beach,M,2013,Lower left leg bitten,2013.09.01.b,Unknown,,Unprovoked,,BAHAMAS,N,blacktip,519
481,520,Fishing,"Sanibel Island, Lee County",M,2013,Minor injury to foot & shin,2013.08.11,Unknown,17,Unprovoked,Florida,USA,N,bull,520
482,521,Surfing,Kauai,M,2012,Lacerations to left foot,2012.12.25,Unknown,60,Unprovoked,Hawaii,USA,N,unknown,521
483,522,Swimming,Nuevo Altata,M,2012,FATAL,2012.11.30,Morning,32,Unprovoked,Sinaloa,MEXICO,Y,unknown,522
484,523,Surfing,"Lori Wilson Park, Cocoa Beach, Brevard  County",M,2012,Right foot bitten,2012.09.10,Morning,25,Unprovoked,Florida,USA,N,unknown,523
485,524,Surfing,"St. Augustine Beach, St. John's County",M,2012,Lacerations to foot,2012.09.08.a,Morning,37,Unprovoked,Florida,USA,N,unknown,524
486,525,Spearfishing,Kaukura Atoll,M,2012,Shoulder bitten,2012.08.09,Unknown,,Unprovoked,Tuamotus,FRENCH POLYNESIA,N,lemon,525
487,526,Surfing,Nobby's Beach,M,2012,Lacerations to left calf,2012.03.24,Unknown,20,Unprovoked,Queensland,AUSTRALIA,N,bull,526
488,527,Surfing,"New Smyrna Beach, Volusia County",M,2012,Bitten on calf,2012.03.15,Unknown,17,Unprovoked,Florida,USA,N,unknown,527
489,528,Kite Surfing,"Playalinda Beach, Brevard County",M,2012,Lacerations to left calf,2012.03.06.a,Unknown,19,Unprovoked,Florida,USA,N,unknown,528
490,529,Attempting to Kite surf from Egypt to Saudi Arabia,Off Duba,M,2012,Harassed by sharks but not injured by them,2012.03.05,Unknown,42,Invalid,Tabuk Province,SAUDI ARABIA,U,unknown,529
491,530,Fishing,Strandfontein,,2012,"No injury to occupants, boat damaged",2012.02.26,Unknown,,Watercraft,Western Cape Province,SOUTH AFRICA,N,unknown,530
492,531,Surfing,"Lincoln City, Lincoln County",M,2012,"No injury, surfboard damaged",2012.01.18.a,Unknown,53,Unprovoked,Oregon,USA,N,unknown,531
493,532,Surfing,Tabanan,M,2011,Lacerations to right hand,2011.12.05,Unknown,18,Unprovoked,Bali,INDONESIA,N,unknown,532
494,533,Swimming or Snorkeling,Anse Lazio,M,2011,FATAL,2011.08.16.c,Unknown,30,Unprovoked,Praslin,SEYCHELLES,Y,bull,533
495,534,Spearfishing,Levan Point,M,2011,"Thigh bitten, FATAL",2011.05.25,Midday,28,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,zambesi,534
496,535,Fishing,Between,M,2011,Lacerations to right hand by hooked shark PROVOKED INCIDENT,2011.03.10.R,Morning,36,Provoked,Queensland,AUSTRALIA,N,bull,535
